股票代號,股票名稱,權重(%),持有股數
2330,台積電,10.77,11960000
2383,台光電,8.86,4597000
2327,國巨*,8.38,25098000
2454,聯發科技,7.63,5131000
2345,智邦科技,5.74,6334000
6223,旺矽科技,5.55,2382000
2303,聯電,4.95,86550000
3037,欣興,4.71,15203000
3017,奇鋐科技,4.69,5191000
6669,緯穎科技服務,4.47,2417000
3665,貿聯-KY,3.53,4833848
2308,台達電,3.52,5052000
2368,金像電,3.48,8315000
8046,南電,3.4,8949000
3711,日月光投資控股,3.06,12742000
6274,台燿,3.0,5160000
3653,健策,2.67,2267000
5274,信驊科技,2.22,416900
6805,富世達,1.0,1811000
8210,勤誠興業,0.98,2267000
6515,穎崴科技,0.6,204000
6187,萬潤,0.48,1334000
6147,頎邦,0.46,6275000
5439,高技,0.43,3528000
6510,精測,0.43,411000
6278,台表科,0.31,4334000
6271,同欣電,0.27,2966000
1590,亞德客-KY,0.27,528000
2449,京元電子,0.22,1886000
6191,精成科,0.15,3988000
3264,欣銓科技,0.13,1508000
3376,新日興,0.12,1741000
2002,中鋼,0.04,5163000
4966,譜瑞-KY,0.03,140000
6488,環球晶,0.02,50000
8996,高力熱處理工業,0.0,1000
8358,金居,0.0,1000
3661,世芯-KY,0.0,1000
1815,富喬工業,0.0,107000
3443,創意,0.0,1000
2439,美律,0.0,1000
3008,大立光,0.0,1000
4958,臻鼎-KY,0.0,1000
2382,廣達電腦,0.0,1000
3533,嘉澤端子工業,0.0,1000
2313,華通,0.0,1000
8150,南茂科技,0.0,1000
2317,鴻海精密工業,0.0,1000
5347,世界先進,0.0,1000
2481,強茂,0.0,5000
