股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
3702,大聯大,5267000,5267000,0,4.9,4.91,0.01,權重增加
3653,健策,77000,77000,0,3.88,3.91,0.03,權重增加
2441,超豐,2890000,2890000,0,2.82,2.87,0.05,權重增加
2357,華碩,238000,238000,0,1.92,1.94,0.02,權重增加
9941,裕融企業,2727480,2727480,0,1.91,1.94,0.03,權重增加
2887,台新新光金,4752360,4752360,0,1.77,1.8,0.03,權重增加
2885,元大金,2615040,2615040,0,1.6,1.61,0.01,權重增加
2892,第一金融控股,3651000,3651000,0,1.24,1.27,0.03,權重增加
2886,兆豐金,2700000,2700000,0,1.22,1.24,0.02,權重增加
3665,貿聯-KY,65000,65000,0,1.07,1.11,0.04,權重增加
2890,永豐金融,2734780,2734780,0,1.04,1.07,0.03,權重增加
6274,台燿,75000,75000,0,0.9,0.92,0.02,權重增加
3293,鈊象電子,144000,144000,0,0.87,0.88,0.01,權重增加
5434,崇越,160000,160000,0,0.74,0.75,0.01,權重增加
2330,台積電,279000,279000,0,5.88,5.79,-0.09,權重減少
2383,台光電,89000,89000,0,4.17,4.15,-0.02,權重減少
2454,聯發科技,96000,96000,0,3.85,3.82,-0.03,權重減少
3706,神達投資控股,5339400,5339400,0,3.74,3.66,-0.08,權重減少
2059,川湖科技,32000,32000,0,3.38,3.34,-0.04,權重減少
7769,鴻勁精密,50000,50000,0,2.76,2.75,-0.01,權重減少
6669,緯穎科技服務,134225,134225,0,2.71,2.66,-0.05,權重減少
2308,台達電,175000,175000,0,2.48,2.47,-0.01,權重減少
3037,欣興,262000,262000,0,2.24,2.22,-0.02,權重減少
2382,廣達電腦,702500,702500,0,2.07,2.04,-0.03,權重減少
3081,聯亞,84700,84700,0,2.08,2.03,-0.05,權重減少
2408,南亞科技,479000,479000,0,2.06,1.97,-0.09,權重減少
2368,金像電,219000,219000,0,1.97,1.95,-0.02,權重減少
6223,旺矽科技,40000,40000,0,1.97,1.95,-0.02,權重減少
6515,穎崴科技,33000,33000,0,1.99,1.9,-0.09,權重減少
2345,智邦科技,101000,101000,0,1.66,1.65,-0.01,權重減少
3017,奇鋐科技,56000,56000,0,1.65,1.62,-0.03,權重減少
3026,禾伸堂,246000,246000,0,1.6,1.57,-0.03,權重減少
5534,長虹建設,2382000,2382000,0,1.54,1.53,-0.01,權重減少
2395,研華,251000,251000,0,1.48,1.47,-0.01,權重減少
2360,致茂電子,70000,70000,0,1.32,1.31,-0.01,權重減少
3008,大立光,24000,24000,0,1.4,1.25,-0.15,權重減少
2451,創見,393000,393000,0,0.95,0.94,-0.01,權重減少
6121,新 普,146000,146000,0,0.49,0.48,-0.01,權重減少
5439,高技,160000,160000,0,0.35,0.34,-0.01,權重減少
5274,信驊科技,9000,9000,0,1.41,1.41,0.0,無變化
2884,玉山金融控股,3184000,3184000,0,1.29,1.29,0.0,無變化
2880,華南金控,2936388,2936388,0,1.18,1.18,0.0,無變化
6805,富世達,51000,51000,0,0.96,0.96,0.0,無變化
4746,台耀化學,2276000,2276000,0,0.9,0.9,0.0,無變化
2393,億光電子工業,1439000,1439000,0,0.78,0.78,0.0,無變化
5904,寶雅國際,1077000,1077000,0,0.68,0.68,0.0,無變化
6138,茂達電子,284000,284000,0,0.66,0.66,0.0,無變化
2727,王品餐飲,321000,321000,0,0.64,0.64,0.0,無變化
4904,遠傳電信,650000,650000,0,0.6,0.6,0.0,無變化
3227,原相,361000,361000,0,0.57,0.57,0.0,無變化
9958,世紀鋼鐵結構,685000,685000,0,0.54,0.54,0.0,無變化
3090,日電貿,363000,363000,0,0.52,0.52,0.0,無變化
4551,智伸科,313000,313000,0,0.43,0.43,0.0,無變化
2618,長榮航,956000,956000,0,0.35,0.35,0.0,無變化
