股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
2059,川湖科技,82000,82000,0,5.04,5.14,0.1,權重增加
7769,鴻勁精密,62000,62000,0,2.85,3.14,0.29,權重增加
2408,南亞科技,789000,789000,0,2.37,2.61,0.24,權重增加
6223,旺矽科技,42000,42000,0,2.06,2.26,0.2,權重增加
6515,穎崴科技,36000,36000,0,2.11,2.12,0.01,權重增加
2345,智邦科技,103000,103000,0,1.89,1.93,0.04,權重增加
3711,日月光投資控股,362000,362000,0,1.72,1.86,0.14,權重增加
8299,群聯電子,80000,80000,0,1.3,1.35,0.05,權重增加
3017,奇鋐科技,74000,74000,0,1.31,1.32,0.01,權重增加
2393,億光電子工業,2419000,2419000,0,1.3,1.31,0.01,權重增加
6670,復盛應用科技,624000,624000,0,1.23,1.24,0.01,權重增加
6805,富世達,89000,89000,0,0.94,0.99,0.05,權重增加
5904,寶雅國際,177000,177000,0,0.96,0.97,0.01,權重增加
4904,遠傳電信,1226000,1226000,0,0.87,0.89,0.02,權重增加
2451,創見,457000,457000,0,0.87,0.88,0.01,權重增加
6768,志強國際企業,1471000,1471000,0,0.79,0.8,0.01,權重增加
6138,茂達電子,275000,275000,0,0.78,0.79,0.01,權重增加
9945,潤泰創新國際,3964000,3964000,0,0.77,0.78,0.01,權重增加
9802,鈺齊國際,1285000,1285000,0,0.71,0.73,0.02,權重增加
6782,視陽,308000,308000,0,0.48,0.49,0.01,權重增加
2454,聯發科技,151000,151000,0,4.58,4.5,-0.08,權重減少
2308,台達電,292000,292000,0,4.18,4.17,-0.01,權重減少
2383,台光電,99000,99000,0,4.0,3.98,-0.02,權重減少
2368,金像電,280000,280000,0,2.45,2.29,-0.16,權重減少
3081,聯亞,117000,117000,0,1.86,1.78,-0.08,權重減少
2360,致茂電子,122000,122000,0,1.72,1.69,-0.03,權重減少
6121,新 普,433000,433000,0,1.46,1.38,-0.08,權重減少
3665,貿聯-KY,97000,97000,0,1.4,1.37,-0.03,權重減少
6274,台燿,109000,109000,0,1.36,1.3,-0.06,權重減少
2382,廣達電腦,443500,443500,0,1.27,1.26,-0.01,權重減少
2727,王品餐飲,647000,647000,0,1.19,1.18,-0.01,權重減少
2204,中華,2641000,2641000,0,1.16,1.14,-0.02,權重減少
5274,信驊科技,11000,11000,0,1.17,1.14,-0.03,權重減少
2347,聯強,1668000,1668000,0,1.13,1.12,-0.01,權重減少
2357,華碩,204000,204000,0,1.07,1.06,-0.01,權重減少
2892,第一金融控股,3940000,3940000,0,1.02,1.01,-0.01,權重減少
8210,勤誠興業,112000,112000,0,1.02,1.0,-0.02,權重減少
1319,東陽,1704000,1704000,0,0.99,0.98,-0.01,權重減少
9907,統一實,8575000,8575000,0,1.0,0.98,-0.02,權重減少
4746,台耀化學,2276000,2276000,0,0.97,0.95,-0.02,權重減少
3045,台灣大哥,1117000,1117000,0,0.96,0.92,-0.04,權重減少
9939,宏全國際,886000,886000,0,0.83,0.82,-0.01,權重減少
3090,日電貿,363000,363000,0,0.84,0.79,-0.05,權重減少
3227,原相,460000,460000,0,0.8,0.77,-0.03,權重減少
2330,台積電,432000,372000,-60000,8.09,6.83,-1.26,減少
2618,長榮航,8019000,5578000,-2441000,2.43,1.68,-0.75,減少
4915,致伸科技,2846000,2512000,-334000,1.48,1.31,-0.17,減少
3653,健策,95000,95000,0,2.31,2.31,0.0,無變化
6669,緯穎科技服務,34000,34000,0,1.3,1.3,0.0,無變化
3592,瑞鼎科技,617000,617000,0,1.28,1.28,0.0,無變化
5534,長虹建設,2069000,2069000,0,1.25,1.25,0.0,無變化
9938,台灣百和工業,3414000,3414000,0,1.2,1.2,0.0,無變化
9941,裕融企業,1866000,1866000,0,1.15,1.15,0.0,無變化
8112,至上電子,1591000,1591000,0,1.03,1.03,0.0,無變化
2886,兆豐金,2819000,2819000,0,1.0,1.0,0.0,無變化
2317,鴻海精密工業,522000,522000,0,0.94,0.94,0.0,無變化
3293,鈊象電子,164000,164000,0,0.93,0.93,0.0,無變化
3702,大聯大,1079000,1079000,0,0.87,0.87,0.0,無變化
2884,玉山金融控股,3184000,3184000,0,0.84,0.84,0.0,無變化
3706,神達投資控股,848000,848000,0,0.57,0.57,0.0,無變化
9958,世紀鋼鐵結構,626000,626000,0,0.56,0.56,0.0,無變化
